num,title,slug,status,already_on_new_site,suggested,decision,note
1,Activity,/activity/,publish,,,remove,
2,AD@AS Media,/adas-media/,publish,,,ask,These are the old presentations from Koinania. I think we can remove.
3,After Dark @ All Saints' 2017,/,draft,,,,
4,After Dark @ All Saints' 2019,/,draft,,,,
5,After Dark @ All Saints' 2020,/,draft,,,,
6,After Dark @ All Saints' 2020 Registration,/,draft,,,,
7,After Dark @ All Saints' 2023,/,draft,,,,
8,After Dark @ All Saints' 2024,/,draft,,,,
9,After Dark @ All Saints' 2026,/after-dark-all-saints-2025/,publish,,,remove,
10,After Dark @ All Saints' 2026,/after-dark-all-saints-2026/,publish,,,ask,"Suggest we make this a dedicated after dark page, and change the content each year. "
11,Become a Member,/become-a-member/,publish,,keep,keep,
12,Bulletins,/bulletins/,publish,,,consolidate,
13,CCM MAC House Meal Ministry,/ccm-mac-house-meal-ministry/,publish,,,ask,I can't tell if this is still active or not
14,Christian Education,/christian-education/,publish,,,consolidate,
15,Clergy,/clergy/,publish,/final/clergy,keep,keep,
16,Connect,/connect/,publish,/final/connect,keep,keep,
17,Contact,/contact/,publish,,,keep,
18,Directory,/directory/,publish,,,remove,
19,Episcopal Youth,/episcopal-youth/,publish,,,consolidate,
20,Event Payment,/event-payment/,publish,,,remove,
21,Fellowship,/fellowship/,publish,,keep,keep,
22,Get the Latest,/get-the-latest/,publish,,,consolidate,
23,Groups,/groups/,publish,,,remove,
24,History,/history/,publish,/final/history,keep,keep,
25,HOME,/,publish,,,remove,
26,Important Forms,/important-forms/,publish,,,remove,
27,In the Church,/in-the-church/,publish,,,consolidate,
28,In the Community,/in-the-community/,publish,,,consolidate,
29,In the World,/in-the-world/,publish,,,consolidate,
30,Interior 1,/interior-1/,publish,,,remove,
31,Koinonia,/koinonia/,publish,,,ask,I believe this series is old enough to archive/remove
32,Learn,/learn/,publish,/final/learn,keep,keep,
33,Life Events,/life-events/,publish,/final/connect/life-events,consolidate,consolidate,
34,Live Events,/live-events/,publish,/final/watch-and-listen,consolidate,consolidate,
35,Meals,/meals/,publish,,,remove,
36,Members,/members/,publish,,,remove,
37,Men's Ministry,/mens-ministry/,publish,,,consolidate,
38,Ministry Contacts,/,draft,,,,
39,Mission,/mission/,publish,,,remove,
40,"Mission, Vision, and Values",/mission-vision-and-values/,publish,,,remove,
41,New Home,/new-home/,publish,,,remove,
42,Night Shelter Meal Ministry,/night-shelter-meal-ministry/,publish,,,keep,
43,Nursery,/nursery/,publish,,,remove,
44,Parish Life Events,/parish-life-events/,publish,,consolidate,ask,I think this can get migrated to other parts of the site
45,Parish Nurses,/parish-nurses/,publish,,,remove,
46,Pastoral Care,/pastoral-care/,publish,/final/connect/pastoral-care,consolidate,consolidate,
47,Photo Gallery,/photo-gallery/,publish,,,remove,
48,Play,/play/,publish,,keep,keep,
49,Prayer,/prayer/,publish,,,consolidate,
50,Prayer Requests,/prayer-requests/,publish,/final/prayer-requests,keep,keep,
51,Prayer Teams,/prayer-teams/,publish,,,remove,
52,Preparing the Way Registration,/preparing-way-registration/,publish,,,remove,
53,Primetimers,/primetimers/,publish,,,ask,I think this is outdated and can be removed
54,Public Preschool,/public-preschool/,publish,,,remove,
55,Sermons,/sermons/,publish,,,remove,
56,Serve,/serve/,publish,/final/serve,keep,keep,
57,Service Archive,/,draft,,,,
58,Service Hours,/service-hours/,publish,,,consolidate,
59,Set Free To Serve,/set-free-to-serve/,publish,,,remove,This looks to be old information
60,Staff,/staff/,publish,,keep,keep,
61,Stephen Ministry,/stephen-ministry/,publish,,consolidate,consolidate,
62,Stitches for the Saints,/stitches-for-the-saints/,publish,,,consolidate,
63,Support,/support/,publish,,,consolidate,
64,test,/test/,private,,,,
65,Thank you,/thank-you/,publish,,,remove,
66,Tour de Saints 2024 Volunteer,/,draft,,remove,,
67,Tour de Saints 2026 Sponsorship,/tour-de-saints-2021-sponsorship/,publish,,remove,remove,
68,Transition,/transition/,publish,,,remove,"Interim is filled, I believe we can remove?"
69,Interim Position Overview,/transition/interim-position-overview-for-all-saints-episcopal-church/,publish,,,remove,"Interim is filled, I believe we can remove?"
70,Why is an Interim Needed?,/transition/why-is-an-interim-needed-and-what-is-interim-work-content-provide-by-multiple-sources/,publish,,,remove,"Interim is filled, I believe we can remove?"
71,Vestry,/vestry/,publish,,keep,keep,
72,Virtual Tour,/virtual-tour/,publish,,,remove,
73,We Really Need to Talk,/really-need-talk/,publish,,,remove,
74,Welcome,/welcome-from-the-rector/,publish,,keep,keep,
75,What is an Episcopalian,/what-is-an-epis/,publish,/final/connect/episcopalian,,consolidate,
76,What to Expect,/what-to-expect/,publish,,,consolidate,
77,Women's Ministry,/womens-ministry/,publish,,,consolidate,
78,Worship,/worship/,publish,,keep,keep,
79,Worship Support,/worship-support/,publish,,,consolidate,
80,WPForms Preview,/wpforms-preview/,private,,,,
81,WPForms Preview,/wpforms-preview-2/,private,,,,
82,Young Adults,/young-adults/,publish,,,remove,This appears outdated and can be removed
