num,title,slug,slug_key,last_modified,word_count,wp_status,recommendation,fold_target,rationale,preserved_url
1,Activity,/activity/,p001-activity,2016-01-27,0,publish,UNDECIDED,,TBD,
2,AD@AS Media,/adas-media/,p002-adas-media,2024-03-25,36,publish,UNDECIDED,,TBD,
3,After Dark @ All Saints' 2017,/,p003-home,2020-03-11,872,draft,UNDECIDED,,TBD,
4,After Dark @ All Saints' 2019,/,p004-home,2020-03-11,369,draft,UNDECIDED,,TBD,
5,After Dark @ All Saints' 2020,/,p005-home,2023-01-06,3340,draft,UNDECIDED,,TBD,
6,After Dark @ All Saints' 2020 Registration,/,p006-home,2020-03-09,103,draft,UNDECIDED,,TBD,
7,After Dark @ All Saints' 2023,/,p007-home,2024-01-03,2606,draft,UNDECIDED,,TBD,
8,After Dark @ All Saints' 2024,/,p008-home,2024-12-28,2913,draft,UNDECIDED,,TBD,
9,After Dark @ All Saints' 2026,/after-dark-all-saints-2025/,p009-after-dark-all-saints-2025,2026-01-08,78,publish,UNDECIDED,,TBD,
10,After Dark @ All Saints' 2026,/after-dark-all-saints-2026/,p010-after-dark-all-saints-2026,2026-01-15,110,publish,UNDECIDED,,TBD,
11,Become a Member,/become-a-member/,p011-become-a-member,2017-03-13,206,publish,KEEP,,Migrate — already in /final,
12,Bulletins,/bulletins/,p012-bulletins,2023-12-21,26,publish,UNDECIDED,,TBD,
13,CCM MAC House Meal Ministry,/ccm-mac-house-meal-ministry/,p013-ccm-mac-house-meal-ministry,2026-05-04,158,publish,UNDECIDED,,TBD,
14,Christian Education,/christian-education/,p014-christian-education,2017-05-05,563,publish,UNDECIDED,,TBD,
15,Clergy,/clergy/,p015-clergy,2026-03-25,966,publish,KEEP,,Migrate (consolidate into new IA),
16,Connect,/connect/,p016-connect,2015-08-17,4,publish,KEEP,,Migrate (consolidate into new IA),
17,Contact,/contact/,p017-contact,2015-02-06,32,publish,UNDECIDED,,TBD,
18,Directory,/directory/,p018-directory,2015-02-13,1,publish,UNDECIDED,,TBD,
19,Episcopal Youth,/episcopal-youth/,p019-episcopal-youth,2017-05-05,189,publish,UNDECIDED,,TBD,
20,Event Payment,/event-payment/,p020-event-payment,2017-11-19,0,publish,UNDECIDED,,TBD,
21,Fellowship,/fellowship/,p021-fellowship,2018-06-25,644,publish,KEEP,,Migrate (consolidate into new IA),
22,Get the Latest,/get-the-latest/,p022-get-the-latest,2023-07-26,30,publish,UNDECIDED,,TBD,
23,Groups,/groups/,p023-groups,2014-12-15,0,publish,UNDECIDED,,TBD,
24,History,/history/,p024-history,2023-01-25,757,publish,KEEP,,Migrate (consolidate into new IA),
25,HOME,/,p025-home,2016-11-28,0,publish,UNDECIDED,,TBD,
26,Important Forms,/important-forms/,p026-important-forms,2015-02-05,0,publish,UNDECIDED,,TBD,
27,In the Church,/in-the-church/,p027-in-the-church,2016-06-27,487,publish,UNDECIDED,,TBD,
28,In the Community,/in-the-community/,p028-in-the-community,2015-11-02,675,publish,UNDECIDED,,TBD,
29,In the World,/in-the-world/,p029-in-the-world,2015-11-02,608,publish,UNDECIDED,,TBD,
30,Interior 1,/interior-1/,p030-interior-1,2015-01-27,787,publish,UNDECIDED,,TBD,
31,Koinonia,/koinonia/,p031-koinonia,2023-07-24,790,publish,UNDECIDED,,TBD,
32,Learn,/learn/,p032-learn,2023-04-25,863,publish,KEEP,,Migrate (consolidate into new IA),
33,Life Events,/life-events/,p033-life-events,2025-02-06,505,publish,FOLD,/connect,Migrate to /connect (Pastoral Care),
34,Live Events,/live-events/,p034-live-events,2026-01-12,225,publish,FOLD,/watch-live,Migrate to /watch-live,
35,Meals,/meals/,p035-meals,2015-11-04,122,publish,UNDECIDED,,TBD,
36,Members,/members/,p036-members,2014-12-15,0,publish,UNDECIDED,,TBD,
37,Men's Ministry,/mens-ministry/,p037-mens-ministry,2015-11-02,163,publish,UNDECIDED,,TBD,
38,Ministry Contacts,/,p038-home,2025-02-26,13,draft,UNDECIDED,,TBD,
39,Mission,/mission/,p039-mission,2015-02-04,1005,publish,UNDECIDED,,TBD,
40,"Mission, Vision, and Values",/mission-vision-and-values/,p040-mission-vision-and-values,2016-11-28,24,publish,UNDECIDED,,TBD,
41,New Home,/new-home/,p041-new-home,2016-11-08,11,publish,UNDECIDED,,TBD,
42,Night Shelter Meal Ministry,/night-shelter-meal-ministry/,p042-night-shelter-meal-ministry,2025-11-18,230,publish,UNDECIDED,,TBD,
43,Nursery,/nursery/,p043-nursery,2015-02-04,1005,publish,UNDECIDED,,TBD,
44,Parish Life Events,/parish-life-events/,p044-parish-life-events,2015-10-15,163,publish,FOLD,/connect,Migrate to /connect (Pastoral Care),
45,Parish Nurses,/parish-nurses/,p045-parish-nurses,2015-11-04,95,publish,UNDECIDED,,TBD,
46,Pastoral Care,/pastoral-care/,p046-pastoral-care,2023-06-26,143,publish,FOLD,/connect,Migrate to /connect (Pastoral Care),
47,Photo Gallery,/photo-gallery/,p047-photo-gallery,2015-02-05,0,publish,UNDECIDED,,TBD,
48,Play,/play/,p048-play,2018-06-25,242,publish,KEEP,,Migrate (consolidate into new IA),
49,Prayer,/prayer/,p049-prayer,2018-03-01,194,publish,UNDECIDED,,TBD,
50,Prayer Requests,/prayer-requests/,p050-prayer-requests,2017-03-09,16,publish,KEEP,,KEEP — preserve URL (printed),
51,Prayer Teams,/prayer-teams/,p051-prayer-teams,2015-09-09,980,publish,UNDECIDED,,TBD,
52,Preparing the Way Registration,/preparing-way-registration/,p052-preparing-way-registration,2016-11-16,198,publish,UNDECIDED,,TBD,
53,Primetimers,/primetimers/,p053-primetimers,2015-10-15,107,publish,UNDECIDED,,TBD,
54,Public Preschool,/public-preschool/,p054-public-preschool,2015-02-04,1006,publish,UNDECIDED,,TBD,
55,Sermons,/sermons/,p055-sermons,2016-09-26,2,publish,UNDECIDED,,TBD,
56,Serve,/serve/,p056-serve,2017-01-28,290,publish,KEEP,,Migrate (consolidate into new IA),
57,Service Archive,/,p057-home,2020-06-20,27,draft,UNDECIDED,,TBD,
58,Service Hours,/service-hours/,p058-service-hours,2026-01-05,201,publish,UNDECIDED,,TBD,
59,Set Free To Serve,/set-free-to-serve/,p059-set-free-to-serve,2018-04-29,858,publish,UNDECIDED,,TBD,
60,Staff,/staff/,p060-staff,2026-04-30,840,publish,KEEP,,Migrate (consolidate into new IA),
61,Stephen Ministry,/stephen-ministry/,p061-stephen-ministry,2024-07-01,160,publish,FOLD,/connect,Migrate to /connect (Pastoral Care),
62,Stitches for the Saints,/stitches-for-the-saints/,p062-stitches-for-the-saints,2015-11-04,125,publish,UNDECIDED,,TBD,
63,Support,/support/,p063-support,2015-10-26,215,publish,UNDECIDED,,TBD,
64,test,/test/,p064-test,2017-12-05,2,private,UNDECIDED,,TBD,
65,Thank you,/thank-you/,p065-thank-you,2019-05-08,6,publish,UNDECIDED,,TBD,
66,Tour de Saints 2024 Volunteer,/,p066-home,2025-05-12,3,draft,RETIRE,,Retire (seasonal),
67,Tour de Saints 2026 Sponsorship,/tour-de-saints-2021-sponsorship/,p067-tour-de-saints-2021-sponsorship,2026-05-13,204,publish,RETIRE,,Retire (seasonal),
68,Transition,/transition/,p068-transition,2025-08-17,2,publish,UNDECIDED,,TBD,
69,— Interim Position Overview for All Saints’ Episcopal Church,/transition/interim-position-overview-for-all-saints-episcopal-church/,p069-transition/interim-position-overview-for-all-saints-episcopal-church,2025-08-19,333,publish,UNDECIDED,,TBD,
70,— Why is an Interim Needed? And What is ‘Interim Work’?,/transition/why-is-an-interim-needed-and-what-is-interim-work-content-provide-by-multiple-sources/,p070-transition/why-is-an-interim-needed-and-what-is-interim-work-content-provid,2025-08-17,634,publish,UNDECIDED,,TBD,
71,Vestry,/vestry/,p071-vestry,2026-03-10,68,publish,KEEP,,Migrate (consolidate into new IA),
72,Virtual Tour,/virtual-tour/,p072-virtual-tour,2015-02-04,1006,publish,UNDECIDED,,TBD,
73,We Really Need to Talk,/really-need-talk/,p073-really-need-talk,2017-01-28,587,publish,UNDECIDED,,TBD,
74,Welcome,/welcome-from-the-rector/,p074-welcome-from-the-rector,2026-01-05,260,publish,KEEP,,Migrate (consolidate into new IA),
75,What is an Episcopalian,/what-is-an-epis/,p075-what-is-an-epis,2017-03-04,469,publish,UNDECIDED,,TBD,
76,What to Expect,/what-to-expect/,p076-what-to-expect,2016-01-11,1876,publish,UNDECIDED,,TBD,
77,Women's Ministry,/womens-ministry/,p077-womens-ministry,2015-10-15,110,publish,UNDECIDED,,TBD,
78,Worship,/worship/,p078-worship,2024-08-08,724,publish,KEEP,,Migrate (consolidate into new IA),
79,Worship Support,/worship-support/,p079-worship-support,2015-08-06,213,publish,UNDECIDED,,TBD,
80,WPForms Preview,/wpforms-preview/,p080-wpforms-preview,2017-11-19,36,private,UNDECIDED,,TBD,
81,WPForms Preview,/wpforms-preview-2/,p081-wpforms-preview-2,2017-11-19,36,private,UNDECIDED,,TBD,
82,Young Adults,/young-adults/,p082-young-adults,2015-10-15,144,publish,UNDECIDED,,TBD,
